fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	early_stopping_rounds	force_row_wise	max_bin	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211128 002420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	225	TRUE	234	0.159452230616007	0.491142090448411	21	8816	480803	92.5425254842266	0.863011464760639	480803	10	84	4466	0.0373745742428427	6467500	5267500	4618	0.0386466152829036	6477500	5777500	8
20211128 002539	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	247	TRUE	227	0.0849053417260293	0.935274102700641	10400	2	378821	29.7679854556918	0.0596465623294935	378821	1	1663	4556	0.0381277564376156	5405000	5055000	4556	0.0381277564376156	5405000	5055000	9
20211128 002628	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	247	TRUE	227	0.0849053417260293	0.935274102700641	10400	2	964333	29.7679854556918	0.0596465623294935	964333	2	973	4411	0.0369142962349259	5336250	4686250	4440	0.0371569882754638	5350000	4800000	9
20211128 002727	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	247	TRUE	227	0.0849053417260293	0.935274102700641	10400	2	187049	29.7679854556918	0.0596465623294935	187049	3	1333	4499	0.0376507410475927	5326250	4876250	4447	0.0372155691128351	5341250	4841250	9
20211128 002940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	247	TRUE	227	0.0849053417260293	0.935274102700641	10400	2	205151	29.7679854556918	0.0596465623294935	205151	4	3184	4219	0.0353075075527437	5576250	4976250	4172	0.0349141790732512	5435000	4935000	9
20211128 003051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	247	TRUE	227	0.0849053417260293	0.935274102700641	10400	2	813697	29.7679854556918	0.0596465623294935	813697	5	1664	4585	0.0383704484781535	5418750	5068750	4199	0.035140133731683	5401250	4951250	9
20211128 003255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	247	TRUE	227	0.0849053417260293	0.935274102700641	10400	2	344719	29.7679854556918	0.0596465623294935	344719	6	2930	4161	0.0348221234716678	5648750	4998750	4357	0.0364623869180621	5353750	4853750	9
20211128 003411	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	247	TRUE	227	0.0849053417260293	0.935274102700641	10400	2	127217	29.7679854556918	0.0596465623294935	127217	7	1791	4521	0.0378348522507595	5448750	5098750	4356	0.0364540182270091	5355000	4905000	9
20211128 003503	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	247	TRUE	227	0.0849053417260293	0.935274102700641	10400	2	464371	29.7679854556918	0.0596465623294935	464371	8	1151	4305	0.0360272149833045	5268750	4768750	4541	0.0380022260718201	5373750	5073750	9
20211128 003616	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	247	TRUE	227	0.0849053417260293	0.935274102700641	10400	2	645137	29.7679854556918	0.0596465623294935	645137	9	1689	4585	0.0383704484781535	5368750	5068750	4291	0.035910053308562	5336250	4836250	9
