fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211127 233700	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	464371	69.4358978548553	0.955571887505503	464371	8	299	4510	0.0377427966491761	6862500	5912500	3982	0.033324127773175	6722500	5872500	7
20211127 233901	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	645137	69.4358978548553	0.955571887505503	645137	9	309	3770	0.0315499652699321	7037500	5487500	4501	0.0376674784296988	6673750	6073750	7
20211127 234114	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	480803	69.4358978548553	0.955571887505503	480803	10	374	4447	0.0372155691128351	7041250	5941250	4686	0.0392156862745098	6742500	6142500	7
20211127 234307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	378821	45.8408995973878	0.208499025527854	378821	1	1139	4897	0.0409814800866996	6378750	6078750	4897	0.0409814800866996	6378750	6078750	8
20211127 234605	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	964333	45.8408995973878	0.208499025527854	964333	2	2059	4183	0.0350062346748345	6721250	6271250	4433	0.0370984074380926	6458750	6158750	8
20211127 234829	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	187049	45.8408995973878	0.208499025527854	187049	3	1550	4592	0.0384290293155248	6410000	6210000	4314	0.0361025332027818	6407500	6157500	8
20211127 234937	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	205151	45.8408995973878	0.208499025527854	205151	4	529	3869	0.0323784656841823	6213750	5913750	4614	0.0386131405186915	6332500	6082500	8
20211127 235206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	813697	45.8408995973878	0.208499025527854	813697	5	1625	4579	0.0383202363318353	6426250	6076250	4605	0.0385378222992142	6393750	6043750	8
20211127 235440	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	344719	45.8408995973878	0.208499025527854	344719	6	1704	4213	0.0352572954064255	6433750	6133750	5245	0.0438937845731549	6343750	6143750	8
20211127 235735	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	127217	45.8408995973878	0.208499025527854	127217	7	1991	4835	0.0404626212414116	6406250	6206250	4436	0.0371235135112517	6305000	6055000	8
20211128 000033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	464371	45.8408995973878	0.208499025527854	464371	8	2033	4139	0.0346380122685011	6576250	6026250	4367	0.0365460738285925	6341250	5991250	8
20211128 000318	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	645137	45.8408995973878	0.208499025527854	645137	9	1834	5159	0.0431740771425941	6451250	6251250	4390	0.0367385537228122	6362500	6162500	8
20211128 000615	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	480803	45.8408995973878	0.208499025527854	480803	10	2023	4014	0.033591925886872	6482500	6032500	4428	0.0370565639828274	6365000	6165000	8
20211128 000659	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	378821	31.3077909336425	0.31858175157613	378821	1	508	4674	0.0391152619818734	6007500	5657500	4674	0.0391152619818734	6007500	5657500	9
20211128 000750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	964333	31.3077909336425	0.31858175157613	964333	2	659	3864	0.0323366222289172	6470000	5570000	3516	0.0294243177424619	6055000	5805000	9
20211128 000819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	187049	31.3077909336425	0.31858175157613	187049	3	281	4196	0.0351150276585239	5955000	5255000	4487	0.0375503167549564	6091250	5641250	9
20211128 000913	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	205151	31.3077909336425	0.31858175157613	205151	4	701	3851	0.0322278292452278	6336250	5936250	3677	0.0307716770020001	6153750	5953750	9
20211128 001033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	813697	31.3077909336425	0.31858175157613	813697	5	1160	4437	0.0371318822023047	6653750	5553750	3884	0.0325039960499778	6345000	5845000	9
20211128 001125	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	344719	31.3077909336425	0.31858175157613	344719	6	670	4359	0.0364791243001682	6651250	6201250	3847	0.0321943544810156	6341250	5941250	9
20211128 001234	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	127217	31.3077909336425	0.31858175157613	127217	7	960	4631	0.038755408266593	6211250	5811250	4032	0.0337425623258266	6260000	5710000	9
20211128 001337	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	464371	31.3077909336425	0.31858175157613	464371	8	857	4120	0.0344790071384935	6400000	5950000	4329	0.0362280635685772	6238750	5938750	9
20211128 001414	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	645137	31.3077909336425	0.31858175157613	645137	9	393	4140	0.0346463809595541	6475000	5825000	3914	0.0327550567815688	6307500	5807500	9
20211128 001444	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	480803	31.3077909336425	0.31858175157613	480803	10	297	5738	0.0480195492622999	6177500	5427500	3881	0.0324788899768187	6348750	5898750	9
20211128 001557	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	223	TRUE	0.169647188904637	0.575881433632458	154	640	378821	72.3535847198218	0.459251188146736	378821	1	228	4081	0.0341526281874252	6448750	5248750	4081	0.0341526281874252	6448750	5248750	10
